ages,parent,source
0,Age,Standard Semantic Hierarchy
1,Age,Standard Semantic Hierarchy
2,Age,Standard Semantic Hierarchy
3,Age,Standard Semantic Hierarchy
4,Age,Standard Semantic Hierarchy
5,Age,Standard Semantic Hierarchy
6,Age,Standard Semantic Hierarchy
7,Age,Standard Semantic Hierarchy
8,Age,Standard Semantic Hierarchy
9,Age,Standard Semantic Hierarchy
10,Age,Standard Semantic Hierarchy
11,Age,Standard Semantic Hierarchy
12,Age,Standard Semantic Hierarchy
13,Age,Standard Semantic Hierarchy
14,Age,Standard Semantic Hierarchy
15,Age,Standard Semantic Hierarchy
16,Age,Standard Semantic Hierarchy
17,Age,Standard Semantic Hierarchy
18,Age,Standard Semantic Hierarchy
19,Age,Standard Semantic Hierarchy
20,Age,Standard Semantic Hierarchy
21,Age,Standard Semantic Hierarchy
22,Age,Standard Semantic Hierarchy
23,Age,Standard Semantic Hierarchy
24,Age,Standard Semantic Hierarchy
25,Age,Standard Semantic Hierarchy
26,Age,Standard Semantic Hierarchy
27,Age,Standard Semantic Hierarchy
28,Age,Standard Semantic Hierarchy
29,Age,Standard Semantic Hierarchy
30,Age,Standard Semantic Hierarchy
31,Age,Standard Semantic Hierarchy
32,Age,Standard Semantic Hierarchy
33,Age,Standard Semantic Hierarchy
34,Age,Standard Semantic Hierarchy
35,Age,Standard Semantic Hierarchy
36,Age,Standard Semantic Hierarchy
37,Age,Standard Semantic Hierarchy
38,Age,Standard Semantic Hierarchy
39,Age,Standard Semantic Hierarchy
40,Age,Standard Semantic Hierarchy
41,Age,Standard Semantic Hierarchy
42,Age,Standard Semantic Hierarchy
43,Age,Standard Semantic Hierarchy
44,Age,Standard Semantic Hierarchy
45,Age,Standard Semantic Hierarchy
46,Age,Standard Semantic Hierarchy
47,Age,Standard Semantic Hierarchy
48,Age,Standard Semantic Hierarchy
49,Age,Standard Semantic Hierarchy
50,Age,Standard Semantic Hierarchy
51,Age,Standard Semantic Hierarchy
52,Age,Standard Semantic Hierarchy
53,Age,Standard Semantic Hierarchy
54,Age,Standard Semantic Hierarchy
55,Age,Standard Semantic Hierarchy
56,Age,Standard Semantic Hierarchy
57,Age,Standard Semantic Hierarchy
58,Age,Standard Semantic Hierarchy
59,Age,Standard Semantic Hierarchy
60,Age,Standard Semantic Hierarchy
61,Age,Standard Semantic Hierarchy
62,Age,Standard Semantic Hierarchy
63,Age,Standard Semantic Hierarchy
64,Age,Standard Semantic Hierarchy
65,Age,Standard Semantic Hierarchy
66,Age,Standard Semantic Hierarchy
67,Age,Standard Semantic Hierarchy
68,Age,Standard Semantic Hierarchy
69,Age,Standard Semantic Hierarchy
70,Age,Standard Semantic Hierarchy
71,Age,Standard Semantic Hierarchy
72,Age,Standard Semantic Hierarchy
73,Age,Standard Semantic Hierarchy
74,Age,Standard Semantic Hierarchy
75,Age,Standard Semantic Hierarchy
76,Age,Standard Semantic Hierarchy
77,Age,Standard Semantic Hierarchy
78,Age,Standard Semantic Hierarchy
79,Age,Standard Semantic Hierarchy
80,Age,Standard Semantic Hierarchy
81,Age,Standard Semantic Hierarchy
82,Age,Standard Semantic Hierarchy
83,Age,Standard Semantic Hierarchy
84,Age,Standard Semantic Hierarchy
85,Age,Standard Semantic Hierarchy
