name,concept_name,parent,source,standard_semantic_hierarchy
0,Age in Years,Age,CPS,Yes
1,Age in Years,Age,CPS,Yes
2,Age in Years,Age,CPS,Yes
3,Age in Years,Age,CPS,Yes
4,Age in Years,Age,CPS,Yes
5,Age in Years,Age,CPS,Yes
6,Age in Years,Age,CPS,Yes
7,Age in Years,Age,CPS,Yes
8,Age in Years,Age,CPS,Yes
9,Age in Years,Age,CPS,Yes
10,Age in Years,Age,CPS,Yes
11,Age in Years,Age,CPS,Yes
12,Age in Years,Age,CPS,Yes
13,Age in Years,Age,CPS,Yes
14,Age in Years,Age,CPS,Yes
15,Age in Years,Age,CPS,Yes
16,Age in Years,Age,CPS,Yes
17,Age in Years,Age,CPS,Yes
18,Age in Years,Age,CPS,Yes
19,Age in Years,Age,CPS,Yes
20,Age in Years,Age,CPS,Yes
21,Age in Years,Age,CPS,Yes
22,Age in Years,Age,CPS,Yes
23,Age in Years,Age,CPS,Yes
24,Age in Years,Age,CPS,Yes
25,Age in Years,Age,CPS,Yes
26,Age in Years,Age,CPS,Yes
27,Age in Years,Age,CPS,Yes
28,Age in Years,Age,CPS,Yes
29,Age in Years,Age,CPS,Yes
30,Age in Years,Age,CPS,Yes
31,Age in Years,Age,CPS,Yes
32,Age in Years,Age,CPS,Yes
33,Age in Years,Age,CPS,Yes
34,Age in Years,Age,CPS,Yes
35,Age in Years,Age,CPS,Yes
36,Age in Years,Age,CPS,Yes
37,Age in Years,Age,CPS,Yes
38,Age in Years,Age,CPS,Yes
39,Age in Years,Age,CPS,Yes
40,Age in Years,Age,CPS,Yes
41,Age in Years,Age,CPS,Yes
42,Age in Years,Age,CPS,Yes
43,Age in Years,Age,CPS,Yes
44,Age in Years,Age,CPS,Yes
45,Age in Years,Age,CPS,Yes
46,Age in Years,Age,CPS,Yes
47,Age in Years,Age,CPS,Yes
48,Age in Years,Age,CPS,Yes
49,Age in Years,Age,CPS,Yes
50,Age in Years,Age,CPS,Yes
51,Age in Years,Age,CPS,Yes
52,Age in Years,Age,CPS,Yes
53,Age in Years,Age,CPS,Yes
54,Age in Years,Age,CPS,Yes
55,Age in Years,Age,CPS,Yes
56,Age in Years,Age,CPS,Yes
57,Age in Years,Age,CPS,Yes
58,Age in Years,Age,CPS,Yes
59,Age in Years,Age,CPS,Yes
60,Age in Years,Age,CPS,Yes
61,Age in Years,Age,CPS,Yes
62,Age in Years,Age,CPS,Yes
63,Age in Years,Age,CPS,Yes
64,Age in Years,Age,CPS,Yes
65,Age in Years,Age,CPS,Yes
66,Age in Years,Age,CPS,Yes
67,Age in Years,Age,CPS,Yes
68,Age in Years,Age,CPS,Yes
69,Age in Years,Age,CPS,Yes
70,Age in Years,Age,CPS,Yes
71,Age in Years,Age,CPS,Yes
72,Age in Years,Age,CPS,Yes
73,Age in Years,Age,CPS,Yes
74,Age in Years,Age,CPS,Yes
75,Age in Years,Age,CPS,Yes
76,Age in Years,Age,CPS,Yes
77,Age in Years,Age,CPS,Yes
78,Age in Years,Age,CPS,Yes
79,Age in Years,Age,CPS,Yes
80,Age in Years,Age,CPS,Yes
81,Age in Years,Age,CPS,Yes
82,Age in Years,Age,CPS,Yes
83,Age in Years,Age,CPS,Yes
84,Age in Years,Age,CPS,Yes
85,Age in Years,Age,CPS,Yes
Undisclosed,Age in Years,Age,CPS,Yes
